Actual,Predicted,Model,ModelFull,Residuals
4.167491087293763,7.07095953577673,RF,Random Forest,-2.9034684484829665
5.568636235841013,5.7986423048751154,RF,Random Forest,-0.23000606903410237
4.826813731587726,4.557833112554544,RF,Random Forest,0.26898061903318204
4.900000142057633,5.648673215742146,RF,Random Forest,-0.7486730736845137
5.619894643379946,5.79141233003925,RF,Random Forest,-0.17151768665930422
5.467500413905338,5.8929321182012435,RF,Random Forest,-0.4254317042959057
5.468521082957745,5.872745050231871,RF,Random Forest,-0.40422396727412657
5.440093374963888,5.254663717517073,RF,Random Forest,0.1854296574468144
5.015922966097169,5.375768791006531,RF,Random Forest,-0.3598458249093621
4.886056647693163,5.105723627895697,RF,Random Forest,-0.2196669802025335
4.821954406114749,5.025217549308249,RF,Random Forest,-0.20326314319350036
5.136677139879544,5.520505621362582,RF,Random Forest,-0.3838284814830377
5.4089353929735005,5.556271337057258,RF,Random Forest,-0.14733594408375783
4.337242168318426,5.317446088188983,RF,Random Forest,-0.980203919870557
5.079443639165396,6.135033043854863,RF,Random Forest,-1.0555894046894672
4.920409455474716,5.313610376631904,RF,Random Forest,-0.3932009211571881
5.721246399047171,5.52752538236397,RF,Random Forest,0.19372101668320152
4.043447408082601,4.960903059360656,RF,Random Forest,-0.917455651278055
5.657577319177793,6.774231375812277,RF,Random Forest,-1.1166540566344834
5.207608310501746,5.343372579304489,RF,Random Forest,-0.13576426880274362
4.391538526328425,5.104671014434026,RF,Random Forest,-0.7131324881056011
4.780699874571511,5.748929227985628,RF,Random Forest,-0.9682293534141175
5.1818794972488655,5.613205944099835,RF,Random Forest,-0.4313264468509699
5.949126463026817,6.335671871057883,RF,Random Forest,-0.38654540803106663
5.161150909262744,5.5296445180500555,RF,Random Forest,-0.3684936087873112
5.214670164989233,5.378972192021419,RF,Random Forest,-0.16430202703218644
4.4156687756324695,5.027984526518615,RF,Random Forest,-0.6123157508861459
5.292429823902063,5.8166236520238375,RF,Random Forest,-0.5241938281217742
5.2225731776106885,5.734690504810022,RF,Random Forest,-0.5121173271993333
5.856985199745905,5.945168897931478,RF,Random Forest,-0.08818369818557326
5.617592987871618,5.637190109808449,RF,Random Forest,-0.019597121936830497
5.158015195409886,6.227395694953423,RF,Random Forest,-1.069380499543537
4.876148359032914,5.140470772507624,RF,Random Forest,-0.26432241347470953
5.6252516539898965,5.710738318754031,RF,Random Forest,-0.0854866647641348
5.119186407719209,5.290495848653476,RF,Random Forest,-0.1713094409342677
4.5376020021010435,6.013992066485555,RF,Random Forest,-1.4763900643845114
5.045757490560675,5.821211337612895,RF,Random Forest,-0.7754538470522201
4.5376020021010435,5.418905400118609,RF,Random Forest,-0.8813033980175655
4.954677021213342,5.692278669648709,RF,Random Forest,-0.7376016484353665
5.522878745280337,6.2188254262317635,RF,Random Forest,-0.6959466809514261
5.3872161432802645,5.300714854418705,RF,Random Forest,0.08650128886155972
4.978810700930062,5.313345889943665,RF,Random Forest,-0.3345351890136037
4.7945270706561125,5.104040411213699,RF,Random Forest,-0.3095133405575865
4.698970004336019,5.655975896618086,RF,Random Forest,-0.9570058922820674
4.991399828238082,5.14636306289678,RF,Random Forest,-0.1549632346586982
5.221848749616356,4.904215667588431,RF,Random Forest,0.31763308202792473
4.921905849593589,4.637869243695078,RF,Random Forest,0.2840366058985113
5.166852888087215,5.243504217016784,RF,Random Forest,-0.07665132892956894
5.018106086327222,5.19832534395974,RF,Random Forest,-0.18021925763251812
5.910094888560602,5.956237705852979,RF,Random Forest,-0.04614281729237746
4.928117992693875,5.355247164305954,RF,Random Forest,-0.4271291716120791
5.325138859262188,5.173961600848266,RF,Random Forest,0.15117725841392282
5.552841968657781,6.3560792834274595,RF,Random Forest,-0.803237314769679
4.3448615651886175,5.185360859468985,RF,Random Forest,-0.8404992942803675
4.3979400086720375,5.3574173163940415,RF,Random Forest,-0.959477307722004
5.130768280269024,5.773597606395408,RF,Random Forest,-0.6428293261263844
5.628932137728264,5.609951604043666,RF,Random Forest,0.018980533684597845
5.830913642512977,6.636741172747401,RF,Random Forest,-0.8058275302344242
6.657577319177793,6.325371055396051,RF,Random Forest,0.33220626378174245
6.259637310505756,6.240532061791897,RF,Random Forest,0.01910524871385899
6.835647144215563,6.194600954047868,RF,Random Forest,0.6410461901676952
6.161150909262744,6.172360318578483,RF,Random Forest,-0.011209409315738661
6.236572006437063,5.816307162364896,RF,Random Forest,0.42026484407216724
