molecule_chembl_id,canonical_smiles,pActivity,n_measurements,targets,assay_types,bioactivity_class
CHEMBL5171142,COCCn1c(C(=O)NCC(O)c2ccccc2)nc2ccccc2c1=O,4.267606240177032,1,CHEMBL4523582,IC50,Inactive
CHEMBL5407039,Cn1c(C(=O)NCc2ccc(O)c([N+](=O)[O-])c2)c(Br)c2ccccc21,4.721246399047171,1,CHEMBL4523582,IC50,Inactive
CHEMBL5591320,O=C(Nc1ccc(Cl)cc1)C1c2cccc[n+]2CC(=O)N1c1ccc(Br)cc1,5.070581074285707,1,CHEMBL4523582,IC50,Inactive
CHEMBL5171052,C[C@H](c1cccc2ccccc12)N1CCC(C(=O)NCC2CCN(C)CC2)CC1,5.545757490560675,2,CHEMBL4523582,IC50,Inactive
CHEMBL5198662,CC(=O)OCC1Cc2c(-c3ccc(C#N)cn3)cccc2-c2c(O)ccc(-c3ccc(Br)cc3)c21,5.351737605222533,2,CHEMBL4523582,IC50,Inactive
CHEMBL5201497,COc1cc2c(cc1Cl)nc(SC(Cc1ccco1)C(=O)N1CCOC1=O)n2Cc1ccccc1,4.557520230935552,1,CHEMBL4523582,IC50,Inactive
CHEMBL5594115,Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc(-c2ccc(CN3CCCC3)s2)c1,5.772113295386326,1,CHEMBL4523582,IC50,Inactive
CHEMBL5570083,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N(C(=O)C(F)(F)F)[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,4.490797477668897,1,CHEMBL4523582,Ki,Inactive
CHEMBL5177329,Nc1cccc2sn(CC(=O)Nc3ccccc3)c(=O)c12,5.7527634504932355,1,CHEMBL4523582,IC50,Inactive
CHEMBL5952729,CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C2CCC2)cc1,5.00436480540245,1,CHEMBL5118,IC50,Inactive
CHEMBL5556592,CC(C)(C)NC(=O)[C@@H](c1cccnc1)N(C(=O)c1cnco1)c1ccc(-c2ccccc2)cc1,5.303643611266668,1,CHEMBL4523582,IC50,Inactive
